18Q : 342/729
24 ((0, 2, 1, 0, 2, 0), 828)
24 ((0, 2, 1, 2, 0, 1), 828)
24 ((1, 0, 1, 0, 2, 0), 828)
24 ((1, 0, 1, 2, 0, 1), 828)
24 ((1, 1, 1, 0, 1, 1), 828)
24 ((1, 2, 0, 2, 1, 1), 828)
24 ((1, 2, 1, 0, 0, 2), 828)
24 ((1, 2, 1, 1, 1, 0), 828)
24 ((2, 0, 0, 2, 1, 1), 828)
24 ((2, 0, 1, 0, 0, 2), 828)
24 ((2, 0, 1, 1, 1, 0), 828)
24 ((2, 1, 1, 1, 0, 1), 828)
25 ((0, 0, 1, 2, 1, 0), 840)
25 ((0, 1, 1, 0, 2, 0), 840)
25 ((0, 1, 1, 2, 0, 1), 840)
25 ((0, 2, 1, 0, 1, 1), 840)
25 ((1, 0, 1, 0, 1, 1), 840)
25 ((1, 1, 0, 2, 1, 1), 840)
25 ((1, 1, 1, 0, 0, 2), 840)
25 ((1, 1, 1, 1, 1, 0), 840)
25 ((1, 2, 1, 1, 0, 1), 840)
25 ((2, 0, 1, 1, 0, 1), 840)
25 ((2, 2, 0, 1, 1, 1), 840)
25 ((2, 2, 1, 0, 1, 0), 840)
26 ((0, 0, 1, 0, 2, 0), 852)
26 ((0, 0, 1, 2, 0, 1), 852)
26 ((0, 1, 1, 0, 1, 1), 852)
26 ((0, 2, 1, 1, 1, 0), 852)
26 ((1, 0, 0, 2, 1, 1), 852)
26 ((1, 0, 1, 0, 0, 2), 852)
26 ((1, 0, 1, 1, 1, 0), 852)
26 ((1, 1, 1, 1, 0, 1), 852)
26 ((2, 1, 0, 1, 1, 1), 852)
26 ((2, 1, 1, 0, 1, 0), 852)
26 ((2, 2, 1, 0, 0, 1), 852)
27 ((0, 0, 1, 0, 1, 1), 864)
27 ((0, 1, 1, 1, 1, 0), 864)
27 ((0, 2, 1, 1, 0, 1), 864)
27 ((1, 0, 1, 1, 0, 1), 864)
27 ((1, 2, 0, 1, 1, 1), 864)
27 ((1, 2, 1, 0, 1, 0), 864)
27 ((2, 0, 0, 1, 1, 1), 864)
27 ((2, 0, 1, 0, 1, 0), 864)
27 ((2, 1, 1, 0, 0, 1), 864)
28 ((0, 0, 1, 1, 1, 0), 876)
28 ((0, 1, 1, 1, 0, 1), 876)
28 ((1, 1, 0, 1, 1, 1), 876)
28 ((1, 1, 1, 0, 1, 0), 876)
28 ((1, 2, 1, 0, 0, 1), 876)
28 ((2, 0, 1, 0, 0, 1), 876)
28 ((2, 2, 0, 0, 1, 1), 876)
29 ((0, 0, 1, 1, 0, 1), 888)
29 ((0, 2, 1, 0, 1, 0), 888)
29 ((1, 0, 0, 1, 1, 1), 888)
29 ((1, 0, 1, 0, 1, 0), 888)
29 ((1, 1, 1, 0, 0, 1), 888)
29 ((2, 1, 0, 0, 1, 1), 888)
30 ((0, 1, 1, 0, 1, 0), 900)
30 ((0, 2, 1, 0, 0, 1), 900)
30 ((1, 0, 1, 0, 0, 1), 900)
30 ((1, 2, 0, 0, 1, 1), 900)
30 ((2, 0, 0, 0, 1, 1), 900)
31 ((0, 0, 1, 0, 1, 0), 912)
31 ((0, 1, 1, 0, 0, 1), 912)
31 ((1, 1, 0, 0, 1, 1), 912)
32 ((0, 0, 1, 0, 0, 1), 924)
32 ((1, 0, 0, 0, 1, 1), 924)
